Year,Month,Max (�C),Min (�C),Ave
1870,3,10.3,-4.4,2.95
1870,4,16.4,5.8,11.1
1870,5,17.2,5.3,11.25
1870,6,18.0,8.6,13.3
1870,7,21.9,10.6,16.25
1870,8,21.1,6.7,13.9
1870,9,22.2,11.8,17
1870,10,16.4,5.3,10.85
1870,11,9.4,0.3,4.85
1870,12,4.4,-8.9,-2.25
1871,1,4.2,-1.7,1.25
1871,2,12.3,6.1,9.2
1871,3,12.8,5.7,9.25
1871,4,15.0,3.1,9.05
1871,5,21.2,6.7,13.95
1871,6,18.8,10.0,14.4
1871,7,22.1,11.1,16.6
1871,8,21.6,10.3,15.95
1871,9,20.5,6.2,13.35
1871,10,14.3,1.7,8
1871,11,11.9,6.9,9.4
1871,12,1.7,-2.8,-0.55
1872,1,12.2,1.8,7
1872,2,12.2,6.7,9.45
1872,3,10.1,0.7,5.4
1872,4,11.2,6.1,8.65
1872,5,11.1,-1.4,4.85
1872,6,16.3,10.2,13.25
1872,7,20.6,13.2,16.9
1872,8,21.6,9.7,15.65
1872,9,20.6,9.3,14.95
1872,10,14.9,3.9,9.4
1872,11,7.7,1.1,4.4
1872,12,8.8,3.4,6.1
1873,1,12.3,8.6,10.45
1873,2,5.0,-1.7,1.65
1873,3,6.7,1.0,3.85
1873,4,9.2,-0.6,4.3
1873,5,11.7,2.3,7
1873,6,18.0,12.8,15.4
1873,7,26.3,14.7,20.5
1873,8,16.4,7.2,11.8
1873,9,16.4,11.6,14
1873,10,15.6,9.7,12.65
1873,11,13.7,4.2,8.95
1873,12,-0.8,-4.2,-2.5
1874,1,11.3,-0.3,5.5
1874,2,11.2,4.9,8.05
1874,3,16.6,6.9,11.75
1874,4,19.1,8.4,13.75
1874,5,18.9,10.6,14.75
1874,6,21.9,7.8,14.85
1874,7,19.8,5.0,12.4
1874,8,19.7,5.0,12.35
1874,9,16.1,7.3,11.7
1874,10,15.9,10.6,13.25
1874,11,17.7,3.5,10.6
1874,12,2.8,-1.0,0.9
1875,1,11.2,5.3,8.25
1875,2,11.7,1.1,6.4
1875,3,11.1,6.7,8.9
1875,4,15.6,7.8,11.7
1875,5,19.9,3.6,11.75
1875,6,23.6,13.6,18.6
1875,7,22.2,10.6,16.4
1875,8,22.5,12.1,17.3
1875,9,19.6,11.1,15.35
1875,10,9.8,6.9,8.35
1875,11,16.4,12.2,14.3
1875,12,3.3,-3.1,0.1
1876,1,2.2,-5.7,-1.75
1876,2,6.2,-1.9,2.15
1876,3,14.0,2.8,8.4
1876,4,14.7,2.1,8.4
1876,5,17.8,1.2,9.5
1876,6,18.8,11.4,15.1
1876,7,24.1,10.4,17.25
1876,8,19.1,9.9,14.5
1876,9,19.2,9.0,14.1
1876,10,17.2,10.1,13.65
1876,11,15.0,8.2,11.6
1876,12,11.4,7.1,9.25
1877,1,13.4,-1.1,6.15
1877,2,10.8,-1.6,4.6
1877,3,12.5,5.8,9.15
1877,4,9.3,-1.7,3.8
1877,5,18.1,8.3,13.2
1877,6,18.3,10.9,14.6
1877,7,17.4,6.9,12.15
1877,8,25.4,14.8,20.1
1877,9,17.9,6.1,12
1877,10,16.7,7.9,12.3
1877,11,13.8,5.1,9.45
1877,12,8.0,-0.6,3.7
1878,1,8.2,-2.6,2.8
1878,2,7.3,1.1,4.2
1878,3,11.8,6.6,9.2
1878,4,12.1,1.0,6.55
1878,5,18.3,5.9,12.1
1878,6,26.3,13.2,19.75
1878,7,19.9,8.7,14.3
1878,8,22.3,9.1,15.7
1878,9,22.2,11.1,16.65
1878,10,14.3,0.4,7.35
1878,11,5.3,-0.8,2.25
1878,12,7.7,-1.5,3.1
1879,1,9.3,-0.7,4.3
1879,2,5.9,-0.8,2.55
1879,3,6.7,4.0,5.35
1879,4,7.8,0.0,3.9
1879,5,14.7,5.2,9.95
1879,6,18.3,7.5,12.9
1879,7,14.2,10.6,12.4
1879,8,18.8,11.8,15.3
1879,9,14.1,7.4,10.75
1879,10,16.8,10.9,13.85
1879,11,6.8,0.6,3.7
1879,12,5.9,-3.4,1.25
1880,1,3.8,-4.0,-0.1
1880,2,9.1,0.0,4.55
1880,3,9.7,0.8,5.25
1880,4,14.1,6.2,10.15
1880,5,16.4,7.1,11.75
1880,6,19.1,11.3,15.2
1880,7,19.2,12.8,16
1880,8,20.4,10.4,15.4
1880,9,18.6,9.5,14.05
1880,10,13.1,3.2,8.15
1880,11,8.4,-0.5,3.95
1880,12,2.8,-0.8,1
1881,1,1.0,-13.3,-6.15
1881,2,5.7,-4.8,0.45
1881,3,5.9,-3.5,1.2
1881,4,12.8,7.8,10.3
1881,5,15.4,6.7,11.05
1881,6,17.1,8.8,12.95
1881,7,18.1,7.8,12.95
1881,8,15.4,9.2,12.3
1881,9,18.2,8.7,13.45
1881,10,14.8,-0.1,7.35
1881,11,10.6,-0.3,5.15
1881,12,10.5,7.2,8.85
1882,1,11.7,2.5,7.1
